Data,Acao,Valor,Ano
11-02-2016,AMGN34,0.132679,2016
11-03-2015,AMGN34,0.087315,2015
12-05-2015,AMGN34,0.087662,2015
12-11-2015,AMGN34,0.105104,2015
12-11-2021,AMGN34,0.349222,2021
13-02-2017,AMGN34,0.130353,2017
13-02-2019,AMGN34,0.199846,2019
13-02-2020,AMGN34,0.264754,2020
13-05-2016,AMGN34,0.120236,2016
13-08-2015,AMGN34,0.106376,2015
13-11-2018,AMGN34,0.183188,2018
13-11-2019,AMGN34,0.214807,2019
14-02-2022,AMGN34,0.347038,2022
14-02-2023,AMGN34,0.390604,2023
14-05-2021,AMGN34,0.317598,2021
14-08-2019,AMGN34,0.210571,2019
14-08-2020,AMGN34,0.303943,2020
14-11-2016,AMGN34,0.120339,2016
14-11-2024,AMGN34,0.320451,2024
15-02-2024,AMGN34,0.279821,2024
15-05-2017,AMGN34,0.135351,2017
15-05-2019,AMGN34,0.19951,2019
15-05-2020,AMGN34,0.26404,2020
15-08-2016,AMGN34,0.116639,2016
15-08-2017,AMGN34,0.126689,2017
15-08-2024,AMGN34,0.322684,2024
16-05-2018,AMGN34,0.175235,2018
16-05-2022,AMGN34,0.339126,2022
16-05-2024,AMGN34,0.301837,2024
16-08-2018,AMGN34,0.194233,2018
16-08-2021,AMGN34,0.332005,2021
16-11-2017,AMGN34,0.134406,2017
16-11-2022,AMGN34,0.362988,2022
16-11-2023,AMGN34,0.263241,2023
17-05-2023,AMGN34,0.372119,2023
17-08-2022,AMGN34,0.357701,2022
17-08-2023,AMGN34,0.262847,2023
14-08-2024,ANIM3,0.47127,2024
26-04-2016,ANIM3,0.0625,2016
26-04-2018,ANIM3,0.084533,2018
26-04-2019,ANIM3,0.0023,2019
27-04-2017,ANIM3,0.020633,2017
31-03-2015,ANIM3,0.1576,2015
07-05-2015,ARMT34,0.926011,2015
10-06-2021,ARMT34,0.753015,2021
11-11-2024,ARMT34,0.640539,2024
13-05-2022,ARMT34,0.968943,2022
13-11-2023,ARMT34,0.459581,2023
15-05-2019,ARMT34,0.38933,2019
16-05-2018,ARMT34,0.1901,2018
16-05-2024,ARMT34,0.57341,2024
22-05-2023,ARMT34,0.530838,2023
01-02-2017,ARNC34,0.185472,2017
01-08-2018,ARNC34,0.24741,2018
01-08-2019,ARNC34,0.083102,2019
02-05-2018,ARNC34,0.222978,2018
02-08-2017,ARNC34,0.188886,2017
03-02-2022,ARNC34,0.102682,2022
03-05-2017,ARNC34,0.1956,2017
03-08-2023,ARNC34,0.195732,2023
03-11-2022,ARNC34,0.21516,2022
04-05-2023,ARNC34,0.200432,2023
04-08-2022,ARNC34,0.101794,2022
04-11-2021,ARNC34,0.112224,2021
05-08-2021,ARNC34,0.104846,2021
06-02-2019,ARNC34,0.222996,2019
06-02-2020,ARNC34,0.087836,2020
07-11-2019,ARNC34,0.084222,2019
07-11-2024,ARNC34,0.324584,2024
08-02-2024,ARNC34,0.17375,2024
08-08-2024,ARNC34,0.307799,2024
09-02-2023,ARNC34,0.208188,2023
09-05-2022,ARNC34,0.095924,2022
09-05-2024,ARNC34,0.1819,2024
09-11-2016,ARNC34,0.304875,2016
09-11-2023,ARNC34,0.171,2023
30-04-2019,ARNC34,0.079806,2019
30-10-2018,ARNC34,0.230406,2018
31-01-2018,ARNC34,0.193824,2018
31-10-2017,ARNC34,0.19239,2017
01-02-2023,ATSA11B,0.05,2023
01-03-2023,ATSA11B,0.05,2023
01-07-2024,ATSA11B,0.72,2024
01-09-2022,ATSA11B,0.05,2022
01-10-2024,ATSA11B,0.5,2024
01-11-2017,ATSA11B,1.5,2017
01-11-2022,ATSA11B,0.05,2022
01-12-2017,ATSA11B,1.5,2017
01-12-2022,ATSA11B,0.05,2022
02-01-2023,ATSA11B,0.05,2023
03-10-2022,ATSA11B,0.05,2022
03-05-2024,ATTB34,0.330355,2024
05-07-2018,ATTB34,0.62725,2018
06-01-2016,ATTB34,0.6368,2016
06-01-2017,ATTB34,0.508293,2017
06-04-2016,ATTB34,0.5632,2016
06-04-2017,ATTB34,0.518012,2017
06-04-2018,ATTB34,0.587667,2018
06-04-2023,ATTB34,0.464813,2023
06-07-2016,ATTB34,0.51768,2016
06-07-2017,ATTB34,0.510743,2017
06-10-2016,ATTB34,0.51456,2016
06-10-2017,ATTB34,0.53361,2017
06-10-2022,ATTB34,0.476588,2022
06-10-2023,ATTB34,0.451419,2023
07-01-2015,ATTB34,0.423627,2015
07-01-2022,ATTB34,0.913551,2022
07-07-2023,ATTB34,0.444,2023
07-10-2015,ATTB34,0.59925,2015
07-10-2021,ATTB34,0.984691,2021
08-01-2018,ATTB34,0.532833,2018
08-01-2019,ATTB34,0.62135,2019
08-04-2015,ATTB34,0.479243,2015
08-04-2019,ATTB34,0.668865,2019
08-04-2020,ATTB34,0.952033,2020
08-04-2021,ATTB34,0.932613,2021
08-07-2015,ATTB34,0.54097,2015
08-07-2019,ATTB34,0.654415,2019
08-07-2020,ATTB34,0.910693,2020
08-07-2021,ATTB34,0.88643,2021
08-07-2022,ATTB34,0.4884,2022
08-10-2018,ATTB34,0.6155,2018
08-10-2020,ATTB34,0.987653,2020
09-01-2020,ATTB34,0.732247,2020
09-01-2023,ATTB34,0.469086,2023
09-01-2024,ATTB34,0.45855,2024
09-07-2024,ATTB34,0.365009,2024
09-10-2019,ATTB34,0.67745,2019
09-10-2024,ATTB34,0.50343,2024
13-04-2022,ATTB34,0.46065,2022
01-07-2020,AXPB34,0.232286,2020
01-07-2021,AXPB34,0.223686,2021
02-01-2019,AXPB34,0.151784,2019
02-01-2020,AXPB34,0.184943,2020
02-04-2020,AXPB34,0.247917,2020
03-01-2018,AXPB34,0.112035,2018
03-04-2019,AXPB34,0.155045,2019
03-10-2018,AXPB34,0.14586,2018
03-10-2024,AXPB34,0.38287,2024
04-01-2017,AXPB34,0.0996,2017
04-01-2024,AXPB34,0.29366,2024
04-04-2018,AXPB34,0.124145,2018
04-04-2024,AXPB34,0.34551,2024
04-07-2018,AXPB34,0.136063,2018
04-07-2019,AXPB34,0.155396,2019
04-07-2024,AXPB34,0.268927,2024
04-10-2017,AXPB34,0.114608,2017
04-10-2019,AXPB34,0.178536,2019
05-01-2023,AXPB34,0.268372,2023
05-04-2017,AXPB34,0.100688,2017
05-04-2023,AXPB34,0.2979,2023
05-07-2017,AXPB34,0.101152,2017
05-10-2016,AXPB34,0.109152,2016
05-10-2023,AXPB34,0.294468,2023
06-01-2016,AXPB34,0.114753,2016
06-01-2022,AXPB34,0.222869,2022
06-04-2016,AXPB34,0.100224,2016
06-07-2023,AXPB34,0.29208,2023
