Ano,Acao,Valor
2018,BLAK34,0.185448
2019,BLAK34,0.790695
2020,BLAK34,1.144088
2021,BLAK34,1.339822
2022,BLAK34,1.1418460000000001
2023,BLAK34,1.267499
2024,BLAK34,1.2015920000000002
2015,BMEB3,0.165
2016,BMEB3,0.300825
2019,BMEB3,0.027104
2020,BMEB3,0.935739
2021,BMEB3,0.590529
2022,BMEB3,0.521025
2023,BMEB3,1.479664
2024,BMEB3,2.0015530000000004
2015,BMEB4,0.513265
2016,BMEB4,0.330908
2017,BMEB4,0.165908
2018,BMEB4,0.331765
2019,BMEB4,0.331765
2020,BMEB4,1.029312
2021,BMEB4,0.649583
2022,BMEB4,0.573148
2023,BMEB4,1.627628
2024,BMEB4,2.201707
2019,BMGB4,0.25
2020,BMGB4,0.178607
2021,BMGB4,0.31551
2022,BMGB4,0.365333
2023,BMGB4,0.3756
2024,BMGB4,0.37
2015,BMIN3,0.534739
2016,BMIN3,0.177692
2017,BMIN3,1.530291
2019,BMIN3,0.039627
2023,BMIN3,1.420175
2024,BMIN3,1.272725
2015,BMIN4,1.271001
2016,BMIN4,0.656856
2017,BMIN4,2.167559
2018,BMIN4,1.19
2019,BMIN4,1.4
2020,BMIN4,1.4
2021,BMIN4,1.9498449999999998
2022,BMIN4,0.850155
2023,BMIN4,1.589625
2024,BMIN4,1.4
2015,BMKS3,29.69
2016,BMKS3,22.74
2017,BMKS3,34.48
2018,BMKS3,17.83
2019,BMKS3,8.38
2020,BMKS3,6.083939
2021,BMKS3,7.927874
2022,BMKS3,17.87756
2023,BMKS3,57.78632
2024,BMKS3,39.26519
2015,BMYB34,5.33709
2016,BMYB34,3.79297
2017,BMYB34,4.944224999999999
2018,BMYB34,5.6718
2019,BMYB34,6.32384
2020,BMYB34,9.320174999999999
2021,BMYB34,7.927465
2022,BMYB34,11.169252
2023,BMYB34,11.272548
2024,BMYB34,9.876033
2015,BNBR3,5.643802
2016,BNBR3,0.839558
2017,BNBR3,2.174435
2018,BNBR3,1.727268
2019,BNBR3,3.689664
2020,BNBR3,0.000805
2021,BNBR3,4.7826070000000005
2022,BNBR3,4.9835270000000005
2023,BNBR3,6.201299000000001
2024,BNBR3,6.055717
2017,BNFS11,1.555283
2022,BNFS11,12.990648
2023,BNFS11,17.372976
2024,BNFS11,16.354829
2015,BOAC34,0.177631
2016,BOAC34,0.207871
2017,BOAC34,0.312207
2018,BOAC34,0.510133
2019,BOAC34,0.658354
2020,BOAC34,0.72675
2021,BOAC34,0.801139
2022,BOAC34,1.107055
2023,BOAC34,0.9600150000000001
2024,BOAC34,0.9765130000000001
2015,BOEI34,12.493936
2016,BOEI34,15.257275
2017,BOEI34,18.097900000000003
2018,BOEI34,25.585875
2019,BOEI34,32.638537
2020,BOEI34,9.504375
2015,BONY34,0.650675
2016,BONY34,2.5178450000000003
2017,BONY34,2.731235
2018,BONY34,3.76194
2019,BONY34,4.679855
2020,BONY34,4.790275
2021,BONY34,6.914975
2022,BONY34,7.334038
2023,BONY34,7.893185000000001
2024,BONY34,8.073484
2016,BOXP34,0.6583600000000001
2017,BOXP34,0.968889
2018,BOXP34,1.286466
2019,BOXP34,1.5457889999999999
2020,BOXP34,1.646348
2021,BOXP34,2.113956
2022,BOXP34,2.002287
2023,BOXP34,1.6443020000000002
2024,BOXP34,1.5609520000000001
2017,BPAC11,0.171748
2018,BPAC11,0.339685
2019,BPAC11,0.351916
2020,BPAC11,0.302467
2021,BPAC11,0.393351
2022,BPAC11,0.6566190000000001
2023,BPAC11,0.780036
2024,BPAC11,0.858204
2017,BPAC3,0.1343
2018,BPAC3,0.110317
2019,BPAC3,0.11429
2020,BPAC3,0.099221
2021,BPAC3,0.130829
2022,BPAC3,0.21887299999999998
2023,BPAC3,0.260012
2024,BPAC3,0.286068
2017,BPAC5,0.137843
2018,BPAC5,0.113228
2019,BPAC5,0.117306
2020,BPAC5,0.100823
2021,BPAC5,0.131116
2022,BPAC5,0.21887299999999998
2023,BPAC5,0.260012
2024,BPAC5,0.286068
2015,BPAN4,0.00195
2016,BPAN4,0.003393
2018,BPAN4,0.061131
2019,BPAN4,0.075945
2020,BPAN4,0.37124900000000005
2021,BPAN4,0.22392800000000002
2022,BPAN4,0.5299689999999999
2023,BPAN4,0.215123
2024,BPAN4,0.24149
2017,BPFF11,1.34
2022,BPFF11,6.19
2023,BPFF11,7.44
2024,BPFF11,7.3999999999999995
2015,BRAP3,0.523717
2016,BRAP3,0.089342
2017,BRAP3,1.149519
2018,BRAP3,1.034247
2019,BRAP3,1.640514
2020,BRAP3,1.612458
2021,BRAP3,7.5129660000000005
2022,BRAP3,2.974148
2023,BRAP3,2.747205
2024,BRAP3,1.748656
2015,BRAP4,0.915063
2016,BRAP4,0.098276
2017,BRAP4,1.264472
2018,BRAP4,1.137672
2019,BRAP4,1.804564
2020,BRAP4,1.773703
2021,BRAP4,8.264263
2022,BRAP4,3.271562
2023,BRAP4,3.0219259999999997
2024,BRAP4,1.923521
2017,BRCR11,0.413056
2020,BRCR11,3.609966
2022,BRCR11,4.199999999999999
2023,BRCR11,4.890000000000001
2024,BRCR11,5.73
2015,BRFS3,0.9867269999999999
2016,BRFS3,1.391168
2024,BRFS3,0.7004469999999999
2015,BRGE11,0.27559
2016,BRGE11,0.28297
2017,BRGE11,0.29922
2018,BRGE11,0.31966
2019,BRGE11,0.33533
2020,BRGE11,0.35286
2021,BRGE11,0.3675
2022,BRGE11,0.37823
2023,BRGE11,0.39093999999999995
2024,BRGE11,0.28165
2015,BRGE12,0.03077
2016,BRGE12,0.00426
2017,BRGE12,0.00402
2018,BRGE12,0.00159
2019,BRGE12,0.00145
2021,BRGE12,0.00052
2024,BRGE12,0.00052
2015,BRGE6,0.55117
2016,BRGE6,0.56593
2017,BRGE6,0.59897
2018,BRGE6,0.63924
2019,BRGE6,0.67022
2020,BRGE6,0.7057100000000001
2021,BRGE6,0.735
2022,BRGE6,0.7564500000000001
2023,BRGE6,0.7818700000000001
2024,BRGE6,0.5633
2015,BRIV3,0.08312
2016,BRIV3,0.10955000000000001
2017,BRIV3,0.13609
2021,BRIV3,0.01934
2022,BRIV3,0.05435
2023,BRIV3,0.15833
2015,BRIV4,0.45638
2016,BRIV4,0.47847
2017,BRIV4,0.49428
2018,BRIV4,0.50758
2019,BRIV4,0.4569
2020,BRIV4,0.68201
2021,BRIV4,0.60056
2022,BRIV4,0.6101099999999999
2023,BRIV4,0.6375
2024,BRIV4,0.32727
2015,BRKM3,0.60625
2016,BRKM3,2.513877
2017,BRKM3,1.256718
2018,BRKM3,1.885738
2019,BRKM3,0.83862
2021,BRKM3,7.539048
2022,BRKM3,3.392696
2015,BRKM5,0.60625
2016,BRKM5,2.513877
2017,BRKM5,1.256718
2018,BRKM5,1.885738
2019,BRKM5,0.83862
2021,BRKM5,7.539048
2022,BRKM5,3.392696
2015,BRPR3,2231.65
2017,BRPR3,23.055
2018,BRPR3,163.1
2020,BRPR3,86.284
2021,BRPR3,196.883
2022,BRPR3,2527.79
2023,BRPR3,5469.2423
2015,BRSR3,0.900721
2016,BRSR3,0.606611
2017,BRSR3,0.715195
2018,BRSR3,1.3457050000000002
2019,BRSR3,1.2438609999999999
2020,BRSR3,0.578635
2021,BRSR3,1.274378
2022,BRSR3,0.881421
2023,BRSR3,0.917263
2024,BRSR3,0.9949300000000001
2015,BRSR5,0.928442
2016,BRSR5,0.606611
2017,BRSR5,0.7166049999999999
2018,BRSR5,1.4135290000000003
2019,BRSR5,1.28413
2020,BRSR5,0.596652
2021,BRSR5,1.518091
2022,BRSR5,0.8932760000000001
2023,BRSR5,0.9326559999999999
2024,BRSR5,1.013245
2015,BRSR6,0.900721
2016,BRSR6,0.606611
2017,BRSR6,0.715183
2018,BRSR6,1.345706
2019,BRSR6,1.2438609999999999
2020,BRSR6,0.578635
2021,BRSR6,1.274378
2022,BRSR6,0.881421
2023,BRSR6,0.917263
2024,BRSR6,0.9949300000000001
2024,BSLI4,0.00493
2022,BTCR11,1.086667
2023,BTCR11,1.2335559999999999
2024,BTCR11,1.1069999999999998
2024,BVAR11,104.17
2017,CAML3,0.158516
2018,CAML3,0.160798
2019,CAML3,0.17967999999999998
2020,CAML3,0.583833
2021,CAML3,0.24724400000000002
2022,CAML3,0.364926
2023,CAML3,0.28872200000000003
2024,CAML3,0.293204
2015,CATP34,0.604784
2016,CATP34,0.67659
2017,CATP34,0.6191
2018,CATP34,0.7517769999999999
2019,CATP34,0.95058
2020,CATP34,1.009401
2021,CATP34,1.295402
2022,CATP34,1.486343
2023,CATP34,1.550404
2024,CATP34,1.788538
2015,CBEE3,0.000365
2019,CBEE3,0.488144
2020,CBEE3,0.398103
2021,CBEE3,0.070054
2022,CBEE3,0.082461
2017,CBOP11,0.94
2022,CBOP11,4.950000000000001
2023,CBOP11,2.4400000000000013
2024,CBOP11,1.1600000000000001
2015,CCRO3,0.5950190000000001
2016,CCRO3,0.70798
2017,CCRO3,0.636634
2018,CCRO3,0.544466
2019,CCRO3,0.762375
2020,CCRO3,0.481803
2021,CCRO3,0.165981
2022,CCRO3,0.37465099999999996
2023,CCRO3,0.193321
2024,CCRO3,0.216291
2020,CEAB3,0.253477
2018,CEBR3,0.036776
2019,CEBR3,0.009669
2020,CEBR3,0.333629
2021,CEBR3,18.963608
2022,CEBR3,3.541792
2023,CEBR3,4.1430240000000005
2024,CEBR3,1.561471
2015,CEEB3,1.010433
2016,CEEB3,1.2052589999999999
2017,CEEB3,0.579312
2018,CEEB3,0.473348
2019,CEEB3,4.1477319999999995
2020,CEEB3,0.499086
2021,CEEB3,6.032877
2022,CEEB3,6.445661
2023,CEEB3,4.563164
2024,CEEB3,3.171206
2015,CEEB5,1.035955
2016,CEEB5,1.235703
2017,CEEB5,0.593945
2018,CEEB5,0.473348
2019,CEEB5,4.1477319999999995
2020,CEEB5,0.499086
2021,CEEB5,3.512398
2022,CEEB5,6.445661
2023,CEEB5,4.563164
2024,CEEB5,3.171206
2022,CEOC11,4.471029
2023,CEOC11,6.193335
2024,CEOC11,5.271552999999999
2015,CGAS3,5.142872
2016,CGAS3,10.742972
2017,CGAS3,9.617083000000001
2018,CGAS3,4.357115
2019,CGAS3,14.850535
2020,CGAS3,9.393959
2021,CGAS3,12.187339999999999
2022,CGAS3,13.239635
2023,CGAS3,3.1554130000000002
2024,CGAS3,20.161785
2015,CGAS5,5.647579
2016,CGAS5,11.806899999999999
2017,CGAS5,10.573298
2018,CGAS5,4.792956
2019,CGAS5,16.335587
2020,CGAS5,10.333355999999998
2021,CGAS5,13.406073000000001
2022,CGAS5,10.554414000000001
2023,CGAS5,3.470954
2024,CGAS5,22.177964000000003
2015,CGRA3,0.843235
2016,CGRA3,1.175228
2018,CGRA3,2.38568
2019,CGRA3,1.304329
2020,CGRA3,1.720306
2021,CGRA3,1.3524319999999999
2022,CGRA3,3.3789500000000006
2023,CGRA3,2.702486
2024,CGRA3,2.686184
2015,CGRA4,0.841799
2016,CGRA4,1.173226
2018,CGRA4,2.381615
2019,CGRA4,1.302107
2020,CGRA4,1.7173749999999999
2021,CGRA4,1.350128
2022,CGRA4,3.3731929999999997
2023,CGRA4,2.702486
2024,CGRA4,2.686184
2015,CHVX34,1.803732
2016,CHVX34,1.481995
2017,CHVX34,1.3842250000000003
2018,CHVX34,1.678981
2019,CHVX34,1.8993360000000001
