"Ticker","Nome","Negócios","Última (R$)","Variação"
"EALT4","Electro Aço Altona","17.800","13,10","+0,08%"
"OFSA3","Ourofino Saúde Animal","17.600","17,80","-0,17%"
"FRIO3","Metalfrio","17.400","300,00","-5,06%"
"ALUP4","Alupar","16.300","9,10","-2,36%"
"GGBR3","Gerdau","16.000","15,69","-0,32%"
"PTNT4","Pettenati","15.600","7,39","+0,96%"
"INEP4","Inepar","13.400","1,46","+5,04%"
"BMEB4","Banco Mercantil do Brasil","12.000","37,51","-0,37%"
"BEES3","Banestes","12.000","8,16","+0,87%"
"BPAC5","Banco BTG Pactual","11.900","7,56","-3,82%"
"HAGA3","Haga","10.600","2,14","-2,28%"
"JFEN3","João Fortes","9.500","2,40","-5,14%"
"UNIP3","Unipar","9.100","45,49","-0,85%"
"ALUP3","Alupar","8.900","9,47","-1,25%"
"MGEL4","Mangels","8.600","6,60","-3,51%"
"CTSA4","Santanense","6.800","0,79","-2,47%"
"ENGI3","Energisa","6.200","10,94","-2,84%"
"OSXB3","OSX Brasil","5.800","3,28","-1,80%"
"WHRL3","Whirlpool","5.500","3,82","-1,55%"
"BIED3","BIED3","5.400","3,27","+4,47%"
"DOTZ3","Dotz","4.900","3,83","+1,86%"
"PINE3","Banco Pine","4.700","4,66","-0,43%"
"COCE5","Coelce","4.600","25,64","+2,68%"
"ATED3","ATOM EDUCAÇÃO E EDITORA S.A.","4.600","1,08","+1,89%"
"MTSA4","Metisa","4.200","43,80","+0,94%"
"TELB3","Telebras","3.900","12,11","-4,65%"
"RAPT3","Randon","3.900","8,30","+0,12%"
"TASA3","Taurus","3.800","8,03","-0,74%"
"WHRL4","Whirlpool","3.800","4,15","-0,24%"
"AMAR11","Lojas Marisa","3.800","0,48","+2,13%"
"BRSR3","Banrisul","3.600","12,20","-2,09%"
"CLSC4","Celesc","3.500","80,44","-0,76%"
"BPAC3","Banco BTG Pactual","3.100","16,45","-1,44%"
"EMAE4","EMAE","2.900","42,39","+1,19%"
"PTNT3","Pettenati","2.700","9,24","+1,32%"
"RDNI3","RNI","2.300","2,49","+3,32%"
"RNEW11","Renova Energia","2.300","2,45","-2,00%"
"ATMP3","Atma","2.200","1,15","+0,00%"
"BAZA3","Banco da Amazônia","2.000","88,88","+0,12%"
"GEPA3","Rio Paranapanema Energia","1.700","31,00","+7,08%"
